Kanji	Hanzi	Syllabe	ModeSyl	Mode2Syl	LieuSyl	Label	DansDict	FichierJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh
要	要	you	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2345.T2.jp.snt	yào	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0002.T2.ch.snt
要	要	you	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2345.T2.jp.snt	yào	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0588.T2.ch.snt
確	确	tashi	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3459.T2.jp.snt	què	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0846.T2.ch.snt
違	违	chiga	affriquee	sourde	alveolo-palatale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	wéi	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0268.T2.ch.snt
今	今	ima	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0002.T2.ch.snt
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0618.T2.ch.snt
学	学	gaku	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	xué	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0730.T2.ch.snt
生	生	sei	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	shēng	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1167.T2.ch.snt
自	自	ji	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3932.T2.jp.snt	zì	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0400.T2.ch.snt
分	分	bun	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3932.T2.jp.snt	fēn	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0740.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3932.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0829.T2.ch.snt
体	体	tai	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2174.T2.jp.snt	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1114.T2.ch.snt
重	重	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2174.T2.jp.snt	zhòng	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1137.T2.ch.snt
界	界	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0081.T2.jp.snt	jiè	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0913.T2.ch.snt
言	言	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0081.T2.jp.snt	yán	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0328.T2.ch.snt
一	一	i	voyelle	_	_	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1103.T2.jp.snt	yī	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_1175.T2.ch.snt
喜	喜	yoroko	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_1103.T2.jp.snt	xǐ	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0357.T2.ch.snt
考	考	kanga	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	kǎo	occlusive	aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_0951.T2.ch.snt
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0058.T2.ch.snt
朝	朝	asa	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	cháo	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0504.T2.ch.snt
早	早	haya	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	zǎo	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0223.T2.ch.snt
起	起	o	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	qǐ	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0223.T2.ch.snt
歩	步	po	occlusive	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	bù	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_1242.T2.ch.snt
連	联	tsu	affriquee	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	lián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0885.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1126.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1031.T2.ch.snt
考	考	kanga	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	kǎo	occlusive	aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0918.T2.ch.snt
難	难	muzuka	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	nán	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0749.T2.ch.snt
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0600.T2.ch.snt
猫	猫	neko	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	māo	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1065.T2.ch.snt
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0615.T2.ch.snt
猫	猫	neko	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	māo	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1052.T2.ch.snt
結	结	ke	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	jié	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0076.T2.ch.snt
構	构	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	gòu	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Test_CH_1196.T2.ch.snt
気	气	ki	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	qì	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0495.T2.ch.snt
分	分	bun	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	fēn	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0184.T2.ch.snt
屋	屋	ya	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3664.T2.jp.snt	wū	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0238.T2.ch.snt
見	见	mi	nasale	_	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	jiàn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0856.T2.ch.snt
読	读	yo	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	dú	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0950.T2.ch.snt
方	方	hou	fricative	_	glottale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	fāng	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0930.T2.ch.snt
好	好	su	fricative	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2753.T2.jp.snt	hǎo	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0767.T2.ch.snt
麗	丽	rei	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	lì	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0362.T2.ch.snt
言	言	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	yán	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0235.T2.ch.snt
話	话	hanashi	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	huà	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0824.T2.ch.snt
聞	闻	ki	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2639.T2.jp.snt	wén	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0578.T2.ch.snt
私	私	watashi	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0737.T2.ch.snt
海	海	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	hǎi	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0529.T2.ch.snt
外	外	gai	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	wài	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_1212.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0061.T2.ch.snt
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0737.T2.ch.snt
二	二	ni	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	èr	voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0232.T2.ch.snt
月	月	gatsu	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	yuè	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0878.T2.ch.snt
初	初	haji	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	chū	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0350.T2.ch.snt
初	初	haji	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	chū	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0829.T2.ch.snt
海	海	kai	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	hǎi	fricative	sourde	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0304.T2.ch.snt
外	外	gai	occlusive	sonore	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	wài	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Dev_CH_0284.T2.ch.snt
旅	旅	ryo	battue	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	lǚ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0847.T2.ch.snt
行	行	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_1206.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0324.T2.ch.snt
体	体	karada	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0021.T2.ch.snt
健	健	ken	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	jiàn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0573.T2.ch.snt
康	康	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	kāng	occlusive	aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0283.T2.ch.snt
湯	汤	yu	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	tāng	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0433.T2.ch.snt
夏	夏	natsu	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	xià	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0405.T2.ch.snt
場	场	ba	occlusive	sonore	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	chǎng	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0845.T2.ch.snt
結	结	ke	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	jié	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0804.T2.ch.snt
構	构	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	gòu	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0178.T2.ch.snt
暑	暑	atsu	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	shǔ	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1022.T2.ch.snt
思	思	omo	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3743.T2.jp.snt	sī	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0955.T2.ch.snt
女	女	onna	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	nǚ	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0362.T2.ch.snt
選	选	sen	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	xuǎn	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0519.T2.ch.snt
手	手	shu	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	shǒu	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0562.T2.ch.snt
選	选	sen	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	xuǎn	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_1215.T2.ch.snt
手	手	shu	fricative	sourde	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_0797.T2.jp.snt	shǒu	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1116.T2.ch.snt
他	他	hoka	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3387.T2.jp.snt	tā	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0771.T2.ch.snt
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3387.T2.jp.snt	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0456.T2.ch.snt
父	父	fu	fricative	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	fù	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0456.T2.ch.snt
今	今	kon	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0757.T2.ch.snt
年	年	nen	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	nián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0799.T2.ch.snt
九	九	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	jiǔ	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0209.T2.ch.snt
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0732.T2.ch.snt
四	四	yon	spirant	_	palatal	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	sì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0529.T2.ch.snt
歳	岁	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	suì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0711.T2.ch.snt
母	母	bo	occlusive	sonore	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	mǔ	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0918.T2.ch.snt
今	今	kon	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0002.T2.ch.snt
年	年	nen	nasale	_	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	nián	laterale	_	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0835.T2.ch.snt
九	九	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	jiǔ	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0332.T2.ch.snt
十	十	juu	affriquee	sonore	alveolo-palatale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0408.T2.ch.snt
歳	岁	sai	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4086.T2.jp.snt	suì	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1058.T2.ch.snt
上	上	a	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3201.T2.jp.snt	shàng	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0317.T2.ch.snt
結	结	ke	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3201.T2.jp.snt	jié	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0747.T2.ch.snt
構	构	kou	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3201.T2.jp.snt	gòu	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0178.T2.ch.snt
怖	怖	kowa	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3201.T2.jp.snt	bù	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0930.T2.ch.snt
弟	弟	otouto	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4063.T2.jp.snt	dì	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_1126.T2.ch.snt
夫	夫	fuu	fricative	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4063.T2.jp.snt	fū	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0682.T2.ch.snt
婦	妇	fu	fricative	sourde	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_4063.T2.jp.snt	fù	fricative	sourde	labio-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0040.T2.ch.snt
間	间	kan	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	jiān	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1246.T2.ch.snt
帰	归	ki	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	guī	occlusive	non_aspiree	velaire	../Corpora/MSLT_Datas/MSLT_Dev_CH_0939.T2.ch.snt
省	省	sei	fricative	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	shěng	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0338.T2.ch.snt
時	时	toki	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	shí	fricative	sourde	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0688.T2.ch.snt
母	母	kaa	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	mǔ	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_1059.T2.ch.snt
急	急	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	jí	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0175.T2.ch.snt
歯	齿	ha	fricative	_	glottale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	chǐ	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0290.T2.ch.snt
抜	拔	nu	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0528.T2.jp.snt	bá	occlusive	non_aspiree	bilabiale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0435.T2.ch.snt
